orphan_id,orphan_title,source_id,source_title,status
4049,Best Puppy Collars UK (2026) - First Collar & Harness Guide,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",OK
4049,Best Puppy Collars UK (2026) - First Collar & Harness Guide,5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,OK
4049,Best Puppy Collars UK (2026) - First Collar & Harness Guide,4132,Best Puppy Training Guide UK (2026) - First Year Essentials,OK
4042,Best Dog Leads UK (2026) - Walking & Training Lead Guide,5418,Dog Harness Types Explained: Finding the Right Fit,OK
4042,Best Dog Leads UK (2026) - Walking & Training Lead Guide,5462,Dog Training Terminology Explained: Key Concepts for New Owners,OK
4042,Best Dog Leads UK (2026) - Walking & Training Lead Guide,4570,First-Time Dog Owner Essentials: What You Need to Know,OK
4034,Best No-Pull Dog Harnesses UK (2026) - Training & Comfort Guide,5418,Dog Harness Types Explained: Finding the Right Fit,OK
4034,Best No-Pull Dog Harnesses UK (2026) - Training & Comfort Guide,5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,OK
4034,Best No-Pull Dog Harnesses UK (2026) - Training & Comfort Guide,4792,Puppy Socialisation: A Complete Timeline Guide,OK
4027,Best Dog Collars and Harnesses UK (2026) - Complete Guide,5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,OK
4027,Best Dog Collars and Harnesses UK (2026) - Complete Guide,4570,First-Time Dog Owner Essentials: What You Need to Know,OK
4027,Best Dog Collars and Harnesses UK (2026) - Complete Guide,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",OK_REINSERTED
4018,Best Puppy Beds UK (2026) - First Bed & Crate Training Guide,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,OK
4018,Best Puppy Beds UK (2026) - First Bed & Crate Training Guide,5416,Dog Bed Types Explained: A Complete Glossary,OK
4018,Best Puppy Beds UK (2026) - First Bed & Crate Training Guide,5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,OK
