id,title,cluster,current_score,weakest_dimension,weakest_score,estimated_lift,upgrade_action
8171,Why PetHub Online Exists,Uncategorized,32.8,practical_guidance,6,16.5,"Add UK prices (£), specific measurements, breed-specific timelines"
8172,Our Research Standards,Uncategorized,39.6,practical_guidance,9,15.0,"Add UK prices (£), specific measurements, breed-specific timelines"
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,51.2,practical_guidance,10,13.5,"Add UK prices (£), specific measurements, breed-specific timelines"
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,45.3,practical_guidance,7,13.5,"Add UK prices (£), specific measurements, breed-specific timelines"
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,46.4,practical_guidance,13,13.5,"Add UK prices (£), specific measurements, breed-specific timelines"
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,41.9,practical_guidance,5,13.5,"Add UK prices (£), specific measurements, breed-specific timelines"
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,49.6,practical_guidance,2,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,52.3,practical_guidance,9,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,50.4,practical_guidance,4,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,47.8,practical_guidance,7,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,53.0,practical_guidance,17,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,48.6,practical_guidance,5,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,53.4,practical_guidance,10,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Dog Training,49.6,practical_guidance,7,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,51.0,practical_guidance,16,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,51.0,practical_guidance,3,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,51.8,practical_guidance,9,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,50.2,practical_guidance,3,12.0,"Add UK prices (£), specific measurements, breed-specific timelines"
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Grooming,49.4,practical_guidance,27,11.7,"Add UK prices (£), specific measurements, breed-specific timelines"
7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,57.6,practical_guidance,18,10.5,"Add UK prices (£), specific measurements, breed-specific timelines"
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,57.0,practical_guidance,18,10.5,"Add UK prices (£), specific measurements, breed-specific timelines"
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,55.8,practical_guidance,20,10.5,"Add UK prices (£), specific measurements, breed-specific timelines"
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,50.5,practical_guidance,11,10.5,"Add UK prices (£), specific measurements, breed-specific timelines"
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,55.4,practical_guidance,12,10.5,"Add UK prices (£), specific measurements, breed-specific timelines"
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,58.7,practical_guidance,11,10.5,"Add UK prices (£), specific measurements, breed-specific timelines"
